day,current_u,current_v,lat,lon
0,,,-72.958336,65.95834
1,,,-72.958336,65.95834
2,,,-72.958336,65.95834
3,,,-72.958336,65.95834
4,,,-72.958336,65.95834
5,,,-72.958336,65.95834
6,,,-72.958336,65.95834
7,,,-72.958336,65.95834
0,,,-72.958336,68.70834
1,,,-72.958336,68.70834
2,,,-72.958336,68.70834
3,,,-72.958336,68.70834
4,,,-72.958336,68.70834
5,,,-72.958336,68.70834
6,,,-72.958336,68.70834
7,,,-72.958336,68.70834
0,,,-72.958336,71.29167
1,,,-72.958336,71.29167
2,,,-72.958336,71.29167
3,,,-72.958336,71.29167
4,,,-72.958336,71.29167
5,,,-72.958336,71.29167
6,,,-72.958336,71.29167
7,,,-72.958336,71.29167
0,,,-72.958336,73.95834
1,,,-72.958336,73.95834
2,,,-72.958336,73.95834
3,,,-72.958336,73.95834
4,,,-72.958336,73.95834
5,,,-72.958336,73.95834
6,,,-72.958336,73.95834
7,,,-72.958336,73.95834
0,,,-72.958336,76.70836
1,,,-72.958336,76.70836
2,,,-72.958336,76.70836
3,,,-72.958336,76.70836
4,,,-72.958336,76.70836
5,,,-72.958336,76.70836
6,,,-72.958336,76.70836
7,,,-72.958336,76.70836
0,,,-72.958336,79.29167
1,,,-72.958336,79.29167
2,,,-72.958336,79.29167
3,,,-72.958336,79.29167
4,,,-72.958336,79.29167
5,,,-72.958336,79.29167
6,,,-72.958336,79.29167
7,,,-72.958336,79.29167
0,,,-72.958336,81.95836
1,,,-72.958336,81.95836
2,,,-72.958336,81.95836
3,,,-72.958336,81.95836
4,,,-72.958336,81.95836
5,,,-72.958336,81.95836
6,,,-72.958336,81.95836
7,,,-72.958336,81.95836
0,,,-72.958336,84.70836
1,,,-72.958336,84.70836
2,,,-72.958336,84.70836
3,,,-72.958336,84.70836
4,,,-72.958336,84.70836
5,,,-72.958336,84.70836
6,,,-72.958336,84.70836
7,,,-72.958336,84.70836
0,,,-72.958336,87.29167
1,,,-72.958336,87.29167
2,,,-72.958336,87.29167
3,,,-72.958336,87.29167
4,,,-72.958336,87.29167
5,,,-72.958336,87.29167
6,,,-72.958336,87.29167
7,,,-72.958336,87.29167
0,,,-72.958336,89.95836
1,,,-72.958336,89.95836
2,,,-72.958336,89.95836
3,,,-72.958336,89.95836
4,,,-72.958336,89.95836
5,,,-72.958336,89.95836
6,,,-72.958336,89.95836
7,,,-72.958336,89.95836
0,,,-70.79167,65.95834
1,,,-70.79167,65.95834
2,,,-70.79167,65.95834
3,,,-70.79167,65.95834
4,,,-70.79167,65.95834
5,,,-70.79167,65.95834
6,,,-70.79167,65.95834
7,,,-70.79167,65.95834
0,,,-70.79167,68.70834
1,,,-70.79167,68.70834
2,,,-70.79167,68.70834
3,,,-70.79167,68.70834
4,,,-70.79167,68.70834
5,,,-70.79167,68.70834
6,,,-70.79167,68.70834
7,,,-70.79167,68.70834
0,,,-70.79167,71.29167
1,,,-70.79167,71.29167
2,,,-70.79167,71.29167
3,,,-70.79167,71.29167
4,,,-70.79167,71.29167
5,,,-70.79167,71.29167
