day,wind_u,wind_v,lat,lon
0,8.183104967711122,3.702242481787975,-73.04262,65.97656
1,8.688287459639506,8.45252215741121,-73.04262,65.97656
2,9.80639754969099,11.570093644960364,-73.04262,65.97656
3,8.58086354653132,11.56841365207321,-73.04262,65.97656
4,8.824875445563151,4.8486113758181455,-73.04262,65.97656
5,9.124016039881289,5.3399436632159265,-73.04262,65.97656
6,10.377039175506246,10.708764810470408,-73.04262,65.97656
7,11.594437297216261,12.43897752176739,-73.04262,65.97656
0,-3.280637902290892,0.9488847984515635,-73.04262,68.671875
1,-3.3579508065447286,1.66257410005056,-73.04262,68.671875
2,-4.386269964054641,1.5087495972850924,-73.04262,68.671875
3,-3.8979148346941694,0.8430930078755852,-73.04262,68.671875
4,-3.794407427000453,0.9456311842449426,-73.04262,68.671875
5,-4.1179046150494205,1.7137968045083969,-73.04262,68.671875
6,-4.8653937222586165,2.494470016927975,-73.04262,68.671875
7,-2.067692278470815,2.036217874004301,-73.04262,68.671875
0,-4.557178595064269,-0.13205236525736516,-73.04262,71.36719
1,-4.562116704089533,0.914351560477681,-73.04262,71.36719
2,-5.380419449450199,0.0923136020480208,-73.04262,71.36719
3,-5.0746168860996965,-2.0196766605980248,-73.04262,71.36719
4,-5.262436520493016,-0.3015010645235138,-73.04262,71.36719
5,-5.391146804837711,0.7017606481045658,-73.04262,71.36719
6,-6.039892178688404,0.6162481429804264,-73.04262,71.36719
7,-5.061877993024594,0.941334556404756,-73.04262,71.36719
0,-4.9513878742501936,-3.826654149059689,-73.04262,73.94531
1,-4.647048460970718,-1.4801506074491628,-73.04262,73.94531
2,-5.604807889937471,-1.9105851732782295,-73.04262,73.94531
3,-5.691820282154713,-3.2647740257925384,-73.04262,73.94531
4,-5.571160865923736,-2.426787448026082,-73.04262,73.94531
5,-5.910376601928287,-2.6154348741782805,-73.04262,73.94531
6,-6.708755431253621,-2.047225624276219,-73.04262,73.94531
7,-4.62220208578813,-0.9209046764651517,-73.04262,73.94531
0,-5.464733255681313,-5.745974485414472,-73.04262,76.640625
1,-5.077121202661158,-3.283951637698689,-73.04262,76.640625
