day,current_u,current_v,lat,lon
0,,,-77.958336,149.95836
1,,,-77.958336,149.95836
2,,,-77.958336,149.95836
3,,,-77.958336,149.95836
4,,,-77.958336,149.95836
5,,,-77.958336,149.95836
6,,,-77.958336,149.95836
7,,,-77.958336,149.95836
0,,,-77.958336,153.29167
1,,,-77.958336,153.29167
2,,,-77.958336,153.29167
3,,,-77.958336,153.29167
4,,,-77.958336,153.29167
5,,,-77.958336,153.29167
6,,,-77.958336,153.29167
7,,,-77.958336,153.29167
0,,,-77.958336,156.62502
1,,,-77.958336,156.62502
2,,,-77.958336,156.62502
3,,,-77.958336,156.62502
4,,,-77.958336,156.62502
5,,,-77.958336,156.62502
6,,,-77.958336,156.62502
7,,,-77.958336,156.62502
0,,,-77.958336,159.95836
1,,,-77.958336,159.95836
2,,,-77.958336,159.95836
3,,,-77.958336,159.95836
4,,,-77.958336,159.95836
5,,,-77.958336,159.95836
6,,,-77.958336,159.95836
7,,,-77.958336,159.95836
0,,,-77.958336,163.29167
1,,,-77.958336,163.29167
2,,,-77.958336,163.29167
3,,,-77.958336,163.29167
4,,,-77.958336,163.29167
5,,,-77.958336,163.29167
6,,,-77.958336,163.29167
7,,,-77.958336,163.29167
0,,,-77.79167,166.54167
1,,,-77.79167,166.54167
2,,,-77.79167,166.54167
3,,,-77.79167,166.54167
4,,,-77.79167,166.54167
5,,,-77.79167,166.54167
6,,,-77.79167,166.54167
7,,,-77.79167,166.54167
0,,,-77.958336,169.95836
1,,,-77.958336,169.95836
2,,,-77.958336,169.95836
3,,,-77.958336,169.95836
4,,,-77.958336,169.95836
5,,,-77.958336,169.95836
6,,,-77.958336,169.95836
7,,,-77.958336,169.95836
0,,,-77.958336,173.29167
1,,,-77.958336,173.29167
2,,,-77.958336,173.29167
3,,,-77.958336,173.29167
4,,,-77.958336,173.29167
5,,,-77.958336,173.29167
6,,,-77.958336,173.29167
7,,,-77.958336,173.29167
0,,,-77.79167,176.62502
1,,,-77.79167,176.62502
2,,,-77.79167,176.62502
3,,,-77.79167,176.62502
4,,,-77.79167,176.62502
5,,,-77.79167,176.62502
6,,,-77.79167,176.62502
7,,,-77.79167,176.62502
0,,,-77.79167,179.87502
1,,,-77.79167,179.87502
2,,,-77.79167,179.87502
3,,,-77.79167,179.87502
4,,,-77.79167,179.87502
5,,,-77.79167,179.87502
6,,,-77.79167,179.87502
7,,,-77.79167,179.87502
0,,,-75.79167,149.95836
1,,,-75.79167,149.95836
2,,,-75.79167,149.95836
3,,,-75.79167,149.95836
4,,,-75.79167,149.95836
5,,,-75.79167,149.95836
6,,,-75.79167,149.95836
7,,,-75.79167,149.95836
0,,,-75.79167,153.29167
1,,,-75.79167,153.29167
2,,,-75.79167,153.29167
3,,,-75.79167,153.29167
4,,,-75.79167,153.29167
5,,,-75.79167,153.29167
6,,,-75.79167,153.29167
7,,,-75.79167,153.29167
0,,,-75.79167,156.62502
1,,,-75.79167,156.62502
2,,,-75.79167,156.62502
3,,,-75.79167,156.62502
4,,,-75.79167,156.62502
5,,,-75.79167,156.62502
6,,,-75.79167,156.62502
7,,,-75.79167,156.62502
0,,,-75.79167,159.95836
1,,,-75.79167,159.95836
2,,,-75.79167,159.95836
3,,,-75.79167,159.95836
4,,,-75.79167,159.95836
5,,,-75.79167,159.95836
6,,,-75.79167,159.95836
7,,,-75.79167,159.95836
0,0.0,0.00462962962962963,-75.79167,163.29167
1,0.007365695637359869,0.09069902897069321,-75.79167,163.29167
2,0.021371502701601073,0.08124717038696862,-75.79167,163.29167
3,1.1339322214327345e-18,0.002314814814814815,-75.79167,163.29167
4,0.0,0.002314814814814815,-75.79167,163.29167
5,-0.003975187403678014,0.10146908484034485,-75.79167,163.29167
6,-0.003947609059706686,0.037762401313612214,-75.79167,163.29167
7,0.01634412076800885,-0.023288565212453288,-75.79167,163.29167
0,0.0,0.03935185185185185,-75.79167,166.62502
1,-0.02973790772532427,0.09292353536694507,-75.79167,166.62502
2,-0.028890088559308195,0.0688268685951786,-75.79167,166.62502
3,0.0,0.03935185185185185,-75.79167,166.62502
4,0.0,0.032407407407407406,-75.79167,166.62502
